Prize Name,Cost,Stock
Pringles,100,9
Oso de peluche mediano,500,1
Funko pop frozen,300,1
Guantes de boxeo,450,1
Hotwheels,300,1
DC Superman General Zod,150,1
Gorras,500,3
Patín micro mini deluxe lite,900,1
Zapatos 5 1/2 de mujer,300,1
Figura anime Zoro,600,1
Juguete Barbie ,300,3
Perro de peluche grande,600,1
Peluche Nemo,300,1
Juego de Números,200,1
Mockey Mouse lego,100,1
Space Shuttle nave espacial,700,1
Peluche de perrito,300,1
Crayolas pequeñas,150,1
Bocina inalambrica grande ,1690,1
Figura Batman,250,1
Peluche de Jirafa,300,1
Juguete de construcción Mickey Mouse,300,1
"Libros: Volver a Roma, Como desaparecer una ballena, se abren los caminos y antiterapias",100,1
Peluche Plaza Sésamo,300,1
Carpeta,100,1
Peluche de perrito con sudadera,300,1
Funko Pop Itachi,300,1
Funko Pop Minato ,300,1
Funko Pop Gaara ,300,1
Funko Pop Kakashi ,300,1
Freidora de aire,790,1
Vajilla de melanina,390,2
Set de cocina Faberware 12 pzs,2390,1
Set de cocina Faberware 15 pzs,2500,1
Soporte para laptop de aluminio,190,3
Cubo Rubik ,50,1
Rompecabezas Francia,190,1
Rompecabezas Pokemon,250,1
Funda para iPhone 13 pro max,190,1
Peluche Mono,250,1
Peluche Clifford,250,1
Paquete de Gises,250,1
Palillos de madera,90,1
Libro de stickers Disney,100,1
Lentes Papa Johns,50,2
Cubo Rubik Cilindro,50,1
Cuaderno profesional 100 hojas,100,1
Cuaderno Profesional 250 hojas,190,1
